activity	time	p	p_peak	p_smooth
Walking	1500	6.28E-05	0.013572965	0.012317039
Using cardiovascular equipment	1500	2.78E-05	0.02082429	0.022089441
Participating in water sports	1500	1.88E-05	0.005859399	0.005409857
Playing basketball	1500	1.90E-05	0.009114714	0.007779422
"Working out, unspecified"	1500	7.03E-05	0.020234747	0.020711308
"Skiing, ice skating, snowboarding"	1500	0	0	0
Doing yoga	1500	0	0	0
Playing billiards	1500	2.65E-04	0.323351256	0.302691967
Fishing	1500	1.09E-04	0.065359515	0.051799251
Dancing	1500	5.07E-04	0.680479513	0.629239239
Playing football	1500	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1500	2.62E-05	0.065392844	0.064141598
Softball	1500	0	0	0
Playing soccer	1500	0	0	0
Doing aerobics	1500	0	0	0
Hunting	1500	3.36E-05	0.030898503	0.03359816
Participating in martial arts	1500	0	0	0
Bowling	1500	1.02E-04	0.082718703	0.071967587
Rollerblading	1500	3.88E-06	0.012169769	0.00811318
Golfing	1500	1.68E-05	0.007148072	0.007148072
Playing volleyball	1500	1.17E-05	0.024574726	0.016383151
Boating	1500	2.02E-05	0.029966049	0.029966049
Playing baseball	1500	0	0	0
Running	1505	6.45E-05	0.044022621	0.04651725
Playing racquet sports	1505	0	0	0
Weightlifting/strength training	1505	1.47E-05	0.009192586	0.012565256
Hiking	1505	0	0	0
Biking	1505	2.71E-06	0.003269747	0.003269747
Walking	1505	6.29E-05	0.013613988	0.013441306
Using cardiovascular equipment	1505	3.28E-05	0.024619742	0.023354591
Participating in water sports	1505	1.45E-05	0.004510774	0.004960316
Playing basketball	1505	1.07E-05	0.005108839	0.00644413
"Working out, unspecified"	1505	6.56E-05	0.018858273	0.017912811
"Skiing, ice skating, snowboarding"	1505	0	0	0
Doing yoga	1505	0	0	0
Playing billiards	1505	2.20E-04	0.268044788	0.282345
Fishing	1505	3.95E-05	0.023635567	0.03754355
Dancing	1505	3.95E-04	0.529275743	0.572771321
